"CustomerId","CardNo","IsCreditCard","Balance"
15760861,448491,1,62610.96
15760861,699670,0,62636.96
15630053,463370,1,63951.2
15630053,614064,0,63948.2
15647091,512025,0,75896.2
15623944,519487,1,1
15623944,241601,0,27
15804771,631264,1,40716.92
15651280,270098,0,136886
15773469,587169,0,76177.44
15773469,584954,0,76186.44
15702014,208044,0,56084.69
15751208,626491,1,78735.16
15592461,510372,1,54609.185
15592461,531001,0,54592.185
15789484,788574,1,169860.46
15696061,148159,1,101640.04
15641582,941222,1,123202.01
15638424,743174,0,75374.765
15638424,967362,0,75396.765
15755648,360883,1,98379.26
15703793,613540,1,66893.72
15703793,114828,0,66873.72
15620344,529171,1,29
15812518,885908,0,163619.18
15779052,819250,1,78922.42
15779052,118707,0,78905.42
15770811,403852,0,3
15780961,488190,1,89363.095
15780961,256204,0,89371.095
15614049,346715,1,33
15614049,824214,0,27
15662085,137328,1,17
15575185,863072,0,77276.22
15803136,310359,1,122210.66
15706021,660693,0,48334.77
15706021,430171,0,48325.77
15663706,448586,1,24
15641732,417247,0,29
15641732,225082,0,19
15701164,162873,1,45179.81
15701164,428354,0,45181.81
15738751,953246,1,12
15738751,520069,0,14
15805254,211055,1,33
15805254,339872,0,7
15762418,158284,1,60866.91
15762418,731701,0,60870.91
15625759,656021,1,24
15625759,297983,0,33
15622897,864935,1,20
15767954,290850,1,81635.67
15757535,630988,1,13
15731511,696168,1,118632.55
15809248,497687,1,18
15640635,461999,1,10
15640635,542559,0,11
15676966,729505,0,11
15676966,677733,0,28
15699461,832217,0,88169.975
15699461,817116,0,88169.975
15738721,848203,0,102846.44
15693683,243692,1,48560.2
15693683,211959,0,48575.2
15604348,871329,0,11
15633059,776118,0,29
15633059,552441,0,28
15808582,731346,1,24
15743192,425158,0,13
15743192,714155,0,22
15580146,725385,1,82693.15
15776605,797130,1,25
15804919,777116,1,16
15613854,523613,1,107098.27
15599195,523187,1,44500.31
15599195,351957,0,44499.31
15812878,772170,0,99817.85
15602312,953180,0,150095.8
15744689,594155,1,46420.945
15744689,905489,0,46425.945
15803526,236218,0,90547.81
15665790,455762,1,108069.1
15715951,489474,0,100241.35
15591100,948698,0,53128.275
15591100,454951,0,53108.275
15609618,810554,0,154499.54
15675522,989906,1,132367.29
15705512,405428,1,167894.4
15698028,774417,1,5
15698028,895294,0,21
15661670,662368,1,107825.63
15600781,194659,1,185180.81
15682472,445075,0,129464.34
15580203,993818,0,60120.71
15580203,683013,0,60128.71
15690673,342720,1,3
15760085,445528,1,126418.42
15779659,268547,0,30
15779659,498227,0,24
15627360,767037,1,152630.45
15671137,357940,0,32
15671137,241350,0,1
15782688,480343,1,74262.62
15782688,582063,0,74258.62
15575492,634208,1,18
15575492,786494,0,26
15591607,695972,1,50933.535
15591607,890298,0,50937.535
15740404,713317,1,17
15740404,222594,0,6
15718369,394666,1,65462.215
15718369,363261,0,65453.215
15677871,111200,1,122597.87
15642004,251526,0,11
15642004,495323,0,33
15712543,914586,1,124837.46
15584518,323839,1,144926.05
15802381,926467,0,31861.965
15802381,679050,0,31833.965
15610156,385740,0,133466.1
15594408,454897,1,213167.2
15640905,550528,0,129514.36
15698932,807247,1,137482.09
15724944,621349,1,10
15628145,531780,1,125866.93
15713483,678797,1,8
15612350,794779,1,20484.775
15612350,196225,0,20490.775
15800703,456647,1,113187.22
15705707,920246,1,69149.47
15705707,143765,0,69169.47
15754105,187639,0,53487.59
15754105,753591,0,53501.59
15703264,896727,1,120701.63
15794413,841291,0,3
15650237,868626,1,14
15759618,496725,1,5
15811589,600309,1,13
15689044,866132,1,127641.59
15709368,146768,1,5
15709368,801180,0,3
15679145,333125,1,23
15679145,112024,0,23
15655007,273135,0,31
15623595,899943,1,13
15623595,803144,0,4
15589975,521222,0,48632.625
15589975,600225,0,48649.625
15804017,163011,0,61629.35
15804017,241777,0,61657.35
15692132,987235,0,50531.125
15692132,261569,0,50562.125
15641122,520867,1,23
15641122,619538,0,9
15630910,831525,0,108039.36
15680772,212001,1,24
15658929,793891,1,66871.445
15658929,101182,0,66870.445
15585388,358899,1,62605.875
15585388,245924,0,62597.875
15724623,624945,1,56544.11
15724623,234860,0,56539.11
15588537,994002,1,54518.615
15588537,205751,0,54527.615
15574692,386520,1,24
15611325,683736,0,57930.81
15587562,619682,1,130142.39
15613172,121138,1,95850.49
15651022,536790,1,64813.285
15651022,676117,0,64834.285
15586310,875494,1,169493.09
15625524,856346,1,23
15625524,861311,0,23
15755209,794040,1,66944.105
15755209,718988,0,66956.105
15645248,783391,1,14
15790355,504249,0,190505.48
15762615,138097,0,102005.12
15625426,945600,1,80810.405
15625426,458096,0,80829.405
15716334,180758,1,122315.21
15789669,616081,1,7
15621075,276651,1,81102.21
15621075,890957,0,81107.21
15810845,979415,1,22
15810845,985933,0,5
15719377,783146,1,10
15719377,154839,0,18
15654506,196005,1,15
15771977,381530,1,99018.67
15708710,302745,0,16
15708710,749840,0,27
15726676,708349,0,6
15587421,658621,1,55707.09
15587421,364927,0,55720.09
15726931,789884,0,28127.425
15726931,300280,0,28134.425
15771086,309571,1,84358.77
15756850,576957,0,20
15702741,273004,1,46509.445
15702741,430123,0,46537.445
15679200,851933,1,61733.44
15594815,789588,1,87408.075
15594815,172795,0,87420.075
15635905,290312,1,34
15777892,344905,1,107727.64
15656176,898506,1,12
15656176,139097,0,2
15811127,201518,1,48215.92
15811127,384129,0,48229.92
15604482,845826,1,70544.005
15604482,725161,0,70532.005
15622911,770879,0,105444.18
15600974,460373,0,18
15600974,380775,0,3
15727868,458173,1,64529.03
15727868,474927,0,64533.03
15627801,760670,1,88347.31
15627801,219146,0,88342.31
15773039,114484,1,4
15755262,309421,0,89765.84
15679531,933242,1,134960.53
15684181,790352,1,5
15684181,920906,0,22
15612087,300931,0,53188.425
15612087,948161,0,53218.425
15752047,648430,1,80916.32
15752047,126030,0,80916.32
15624592,933732,1,23
15624592,859842,0,28
15573152,314992,0,12
15594917,435288,1,31569.505
15594917,133008,0,31559.505
15785542,691855,0,59167.505
15785542,706397,0,59167.505
15723488,640664,0,106872.21
15680920,892089,1,24788.275
15680920,131243,0,24786.275
15786308,303626,0,9
15659366,452805,1,52922.66
15659366,811236,0,52920.66
15774854,669489,1,19
15774854,175157,0,13
15725311,212237,1,57380.025
15725311,250073,0,57361.025
15787155,968032,0,4
15787155,183842,0,4
15727829,539368,1,23
15727829,771551,0,8
15733247,176390,1,1
15568748,254649,1,49809.11
15568748,359268,0,49805.11
15699029,307634,1,170583.91
15774393,473050,1,17
15676895,583283,1,37306.075
15676895,392265,0,37311.075
15637753,175024,1,48467.195
15637753,350697,0,48465.195
15605461,652618,1,130833.22
15808473,428196,0,14
15627000,435706,1,21
15787174,146839,0,5
15723886,540025,0,59863.125
15723886,444710,0,59865.125
15704769,181156,0,57005.485
15704769,325295,0,57004.485
15772896,713176,1,50110.375
15772896,328215,0,50112.375
15711540,326268,1,18
15764866,483752,1,58114.25
15764866,913696,0,58123.25
15794056,244863,1,22
15795149,693962,0,81176.83
15812009,383051,1,19
15812009,577577,0,13
15651001,786703,1,116815.8
15813844,307324,0,53002.84
15813844,420765,0,52996.84
15596175,478083,1,117441.6
15576269,249370,1,3
15797219,135975,1,123524.58
15685500,101870,1,76229.255
15685500,819207,0,76210.255
15599792,765278,1,13
15599792,281601,0,8
15657566,869689,1,103100.85
15772423,194573,1,63218.07
15772423,153224,0,63240.07
15628112,721659,0,77850.9
15753754,206615,1,11
15753754,272851,0,1
15793726,941371,0,34
15793726,922963,0,15
15694717,211698,1,79749.91
15665834,823048,0,17
15765297,639161,0,15
15765297,384567,0,10
15636684,456865,1,20
15592979,514034,0,37282.67
15750803,436925,1,64022.125
15750803,527173,0,64004.125
15607178,552298,1,54915.01
15713853,401081,1,54389.04
15713853,198230,0,54396.04
15673481,251146,1,49963.095
15673481,956423,0,49964.095
15686776,194564,1,92365.205
15686776,274264,0,92366.205
15673693,157030,0,110664.02
15700696,266038,1,39541.9
15700696,745448,0,39534.9
15813163,434431,1,49652.255
15813163,914223,0,49639.255
15653857,336712,1,30
15777076,223883,1,27
15777076,358605,0,23
15717398,113413,0,5
15717398,803037,0,33
15799217,768084,1,52458.2
15787071,337924,0,33
15619955,419271,1,100370.96
15796505,165990,1,74660.595
15796505,789856,0,74672.595
15725166,347909,1,24
15800116,414768,0,72811.72
15800116,735140,0,72836.72
15758685,849259,1,31
15694456,257759,1,22
15694456,214507,0,14
15767339,177276,1,7
15683562,842738,0,84057.86
15782210,856608,1,19
15668893,579685,1,21
15668893,620992,0,8
15669169,955316,1,29
15669169,627437,0,11
15643024,110726,1,138730.92
15699389,645132,1,118286.71
15708608,462605,0,87097.99
15708608,121274,0,87092.99
15626144,545110,1,56638.43
15626144,276837,0,56636.43
15573112,452009,1,51981.64
15573112,765672,0,51968.64
15790678,485390,1,119042.28
15727556,589680,1,166325.89
15697307,753735,1,19
15652266,494135,0,63236
15607098,969668,1,47284.585
15607098,233999,0,47260.585
15655774,378415,1,24
15655774,618851,0,16
15590241,879394,0,56412.13
15590241,224143,0,56443.13
15785819,482854,1,8
15785819,314024,0,20
15723654,856150,1,135913.33
15774510,830810,1,62586.63
15774510,277274,0,62615.63
15684173,832432,1,33
15684173,875099,0,3
15650068,367777,1,74572.655
15650068,559942,0,74580.655
15811490,881035,1,21
15803976,305765,1,33
15803976,741598,0,13
15682541,931584,0,66157.855
15682541,928995,0,66182.855
15695699,250419,1,21
15695699,292724,0,21
15624188,483650,1,23
15812191,116989,0,118103.89
15636673,917125,1,59661.345
15636673,160089,0,59641.345
15594898,331306,1,14
15594898,768203,0,34
15660211,920623,1,78447.645
15660211,475136,0,78456.645
15773972,344871,1,68570.235
15773972,981673,0,68578.235
15746726,957620,1,39207.345
15746726,963199,0,39209.345
15712287,766878,1,14
15702919,815534,1,63670.42
15674398,107917,0,2
15674398,935425,0,33
15797960,356512,1,135319.33
15631868,349882,1,76926.22
15631868,913355,0,76919.22
15581539,441857,0,17
15581539,271461,0,15
15662736,449581,1,73558.89
15662736,543597,0,73539.89
15666252,538187,1,1
15666252,991822,0,11
15677512,287828,1,5
15626114,915865,1,95756.75
15810834,367967,1,145994.33
15678910,694636,1,70736.875
15678910,117152,0,70729.875
15694408,597964,1,69667.205
15694408,942525,0,69661.205
15585215,147183,0,5
15682757,431907,1,4
15682757,970793,0,3
15736601,209246,1,144456.87
15601848,940961,1,23
15601848,175678,0,10
15736008,588609,1,95455.27
15669064,283819,1,72438.37
15669064,434378,0,72434.37
15624528,883449,1,116245.14
15598493,190800,0,5
15598493,154584,0,8
15601274,291066,1,146519.07
15702669,661044,0,117032.6
15728669,731634,1,112028.81
15742668,848541,1,54166.685
15742668,991179,0,54144.685
15697441,650566,1,91095.895
15697441,462578,0,91065.895
15740476,518009,0,150952.74
15648064,944455,1,25
15636624,934690,1,82650.065
15636624,832512,0,82660.065
15807923,508313,1,57665.655
15807923,256625,0,57673.655
15745844,911900,0,129528.49
15786170,319292,0,59187.13
15786170,314262,0,59171.13
15681081,423545,1,14
15681081,537274,0,28
15684484,409192,0,25
15684484,162723,0,15
15785869,354425,1,34
15763859,895801,1,19
15763859,218970,0,28
15658935,295539,1,106957.05
15747358,870374,1,170345.37
15735203,792032,1,114516.85
15576256,364870,1,12
15576256,453484,0,11
15659420,553169,1,53823.055
15659420,393195,0,53805.055
15593365,424782,1,81297.13
15777352,208742,1,169424.6
15812007,493995,1,5
15625461,639448,1,93945.995
15625461,278764,0,93922.995
15739438,792300,1,32
15611759,351444,1,63409.15
15611759,495999,0,63398.15
15661629,971435,1,126451.29
15633950,832769,1,101973.74
15592386,142032,0,10
15803716,171600,0,10
15696674,393849,0,150860.93
15706365,170871,1,51274.785
15706365,741402,0,51286.785
15745088,637649,1,99032.61
15676715,426966,1,29
15613085,349974,1,16
15613085,531472,0,9
15633537,297450,1,43665.705
15633537,232208,0,43653.705
15594720,294248,1,51371.455
15594720,153588,0,51381.455
15684042,659519,0,20059.755
15684042,879171,0,20077.755
15583303,140704,1,152267.43
15611579,440293,1,70987.835
15611579,147799,0,70992.835
15774696,278043,0,53178.955
15774696,834127,0,53182.955
15694506,379197,1,53950.405
15694506,116144,0,53965.405
15688074,461520,1,125014.72
15759537,573464,1,29257.685
15759537,823518,0,29241.685
15758449,938203,0,31
15758449,817226,0,19
15583456,223259,1,58620.815
15583456,787101,0,58636.815
15667871,574028,1,152394.26
15677371,320951,1,17012.815
15677371,261426,0,17029.815
15629677,454002,0,21
15629677,684090,0,20
15713578,692717,1,16
15713578,370478,0,19
15591509,464331,1,50811.555
15591509,311879,0,50819.555
15568240,264795,0,38586.435
15568240,656333,0,38596.435
15622993,326387,1,62372.86
15622993,152527,0,62353.86
15689294,508609,1,105938.96
15720910,124181,1,32
15720910,846154,0,18
15721181,264613,1,2
15721181,309581,0,20
15776433,479996,1,26
15776433,314641,0,27
15748936,451849,0,22
15717225,443608,1,161545.96
15685226,912141,1,73608.535
15685226,524440,0,73623.535
15785611,192183,1,183108.29
15573456,412436,1,127236
15684548,745114,0,9
15684548,895764,0,1
15620505,861580,1,48700.27
15620505,249574,0,48723.27
15807432,875119,0,136929.09
15584766,528696,1,27274.775
15584766,520805,0,27252.775
15612187,938698,1,155756.85
15762218,615080,0,31
15646372,478200,1,67932.205
15646372,828699,0,67940.205
15690452,776641,1,31688.875
15690452,281286,0,31704.875
15747795,580868,1,64764.71
15747795,629200,0,64778.71
15781589,112237,0,3
15732674,831893,0,70463.01
15642291,331707,1,8
15692761,954017,1,13
15578045,126453,0,141450.04
15745354,268863,1,33
15745354,632862,0,12
15701376,541656,1,152962.29
15691625,283006,1,138326.34
15566594,606608,0,22
15566594,936104,0,1
15760431,937481,1,0
15686302,941469,1,124346.84
15801559,315151,1,90743.74
15801559,871375,0,90751.74
15810432,147737,1,18
15809616,155340,0,32
15720559,460022,0,110379.03
15695632,264530,1,44812.175
15695632,616228,0,44796.175
15659843,306166,0,25
15659843,819548,0,20
15615624,236186,0,32
15810418,633549,1,115957.89
15716186,648587,1,16
15674551,493885,1,55906.25
15674551,243189,0,55878.25
15622834,272937,1,8
15622834,688858,0,6
15566111,790864,1,26
15784597,863114,1,81474.925
15784597,360068,0,81474.925
15652883,933941,1,124581.65
15806964,404705,1,40420.79
15806964,920248,0,40409.79
15576313,262106,1,35670.045
15576313,856689,0,35683.045
15806467,533994,0,99292.63
15597602,547218,1,68991.195
15597602,425268,0,68984.195
15743040,780499,0,63949.285
15743040,962407,0,63952.285
15705521,290469,1,50550.18
15705521,502727,0,50559.18
15595039,959683,1,114776.08
15799384,168236,0,6
15799384,652666,0,0
15581197,467232,0,49668.49
15581197,671097,0,49644.49
15693737,154379,1,79891.02
15624623,402873,0,104119.59
15783501,343267,1,168199.33
15690134,521137,1,85710.25
15782735,523677,0,10
15782735,660919,0,4
15611088,395278,1,33
15672145,732547,1,121575.58
15732628,473642,1,61126.095
15732628,644124,0,61115.095
15787470,496410,0,116562.15
15803406,287838,0,77783.29
15730460,444774,0,18
15644572,555284,1,62944.1
15644572,265637,0,62934.1
15694860,925813,0,68085.8
15658169,206613,1,63659.67
15658169,533225,0,63665.67
15794396,867154,1,87471.82
15794396,663545,0,87500.82
15785798,697664,0,24
15785798,835231,0,28
15710825,333313,0,55050.55
15710825,774741,0,55037.55
15668444,555997,1,69722.185
15668444,311608,0,69726.185
15726631,297920,0,63698.88
15726631,210061,0,63710.88
15733797,920016,1,14
15747960,342117,1,27
15747960,189822,0,23
15634632,537595,1,13
15634632,583521,0,33
15707362,190417,0,95575.31
15662976,719378,1,20
15732778,230628,1,55848.99
15732778,765598,0,55861.99
15718443,817771,1,25
15670039,868311,1,108758.71
15773792,536592,1,66984.185
15773792,681548,0,66996.185
15613786,607066,1,6
15613786,784022,0,18
15726032,218272,1,89982.69
15663252,816163,1,10
15593782,673087,1,65464.375
15593782,598368,0,65460.375
15633283,646216,1,28
15749167,117297,1,9
15759298,478465,1,134197.62
15683625,765873,1,149779.08
15635367,667057,1,46953.345
15635367,819446,0,46930.345
15681705,939923,1,1
15681705,644668,0,4
15603156,997619,1,12
15603156,796409,0,5
15591986,986184,0,70540.185
15591986,734070,0,70550.185
15798888,547757,1,118015.59
15809722,997106,1,100828.33
15677538,958500,1,31
15677538,566685,0,8
15797736,247588,1,40155.3
15797736,242504,0,40141.3
15695585,535353,0,78242.31
15695585,799379,0,78255.31
15744398,955661,1,6
15744398,507457,0,9
15750658,311320,0,20
15578186,430129,1,115217.99
15676519,764470,1,29
15676519,730227,0,9
15637954,164808,1,77735.275
15637954,184223,0,77743.275
15758639,124054,1,14
15758639,500870,0,8
15613772,340973,1,135109.77
15731744,978283,0,13
15731744,457180,0,12
15807709,330882,1,180096.22
15714689,579766,1,97545.24
15699005,841481,1,156080.05
15624170,774530,0,40779.47
15624170,697184,0,40800.47
15725679,373219,0,15
15725679,937226,0,32
15585865,870717,0,170082.92
15804256,635317,1,92323.54
15662403,683683,1,169098.38
15733616,323306,1,40334.965
15733616,528331,0,40325.965
15591995,207763,1,60802.78
15591995,222427,0,60817.78
15677020,844765,0,28
15727688,523844,1,29
15715941,343011,1,0
15714485,290337,1,42950.775
15714485,566053,0,42955.775
15730059,348883,1,38833.675
15730059,248837,0,38831.675
15715527,752640,0,33
15576623,693776,1,22
15805565,798190,1,58487.945
15805565,929275,0,58497.945
15677307,462774,1,137350.65
15773890,654190,1,26
15773890,275900,0,32
15598883,689748,1,33
15598883,111267,0,29
15568506,743768,1,33625.49
15568506,296452,0,33647.49
15761043,575986,1,86585.76
15782236,939375,0,25
15782236,811109,0,20
15593601,724182,1,66821.2
15593601,268945,0,66803.2
15682048,396971,1,136215.78
15746902,547841,1,15
15752081,828416,0,6
15781307,311948,1,60050.26
15781307,591096,0,60076.26
15775912,308441,0,50653.12
15775912,691439,0,50636.12
15745417,143140,0,44874.96
15745417,230362,0,44874.96
15671256,626143,1,105914.155
15671256,721305,0,105915.155
15653547,602392,1,131334.48
15595766,137855,1,93755.73
15742358,778792,1,50608.495
15742358,884210,0,50608.495
15763274,347421,0,120353.54
15786063,512524,1,15
15600258,614076,1,30
15573318,984012,1,10
15653849,270548,1,152860.99
15694272,401512,1,32079.875
15694272,481136,0,32056.875
15736112,687441,1,59547.675
15736112,693342,0,59540.675
15749851,958421,0,67631.785
15749851,292810,0,67618.785
15663478,551285,1,46871.21
15663478,312062,0,46874.21
15592300,148668,1,59419.63
15567832,178681,1,57183.475
15567832,799612,0,57187.475
15776780,101586,1,31
15592846,677718,1,128199.9
15739803,939915,1,7
15794142,657783,0,114954.35
15762729,729105,1,111075.36
15667896,261139,1,151259.18
15626578,851384,1,17
15776223,176459,1,32390.06
15776223,778613,0,32390.06
15705953,903199,1,84685.065
15705953,955418,0,84673.065
15802593,943295,0,24
15615457,465120,1,112657.08
15708916,170833,1,0
15708916,201844,0,28
15720187,449120,1,71999.18
15720187,592369,0,72013.18
15595440,185185,1,122460.46
15600651,896370,1,16
15750141,783447,1,32657.535
15750141,594979,0,32645.535
15657284,366605,1,106914.94
15763063,641098,1,128511.63
15709324,691355,1,0
15709324,453903,0,30
15711309,432101,1,129868.67
15775318,441750,0,154963.99
15705515,627487,1,138244.9
15634844,204837,1,91550.93
15717046,429583,1,5
15717046,388388,0,7
15571816,388852,1,15
15571816,348012,0,8
15670080,898591,0,52636.005
15670080,268771,0,52613.005
15800440,215828,0,153001.73
15665678,224832,1,79160.84
15665678,488107,0,79154.84
15665956,432759,1,1
15665956,339820,0,0
15788126,630103,1,60542.525
15788126,278595,0,60510.525
15811773,583150,1,11
15651674,148582,0,6
15689614,850179,1,68858.83
15689614,711430,0,68858.83
15795564,358148,1,121202.22
15706647,902176,1,34
15728505,918606,1,100506.18
15730076,277410,1,24
15730076,342268,0,4
15622003,477127,1,92567.53
15607312,107801,1,11
15607312,628368,0,34
15644753,754902,1,110938.96
15653620,194770,1,28
15653620,598281,0,4
15761986,418753,1,69464.805
15761986,457862,0,69455.805
15633922,683046,0,61630.83
15633922,715748,0,61632.83
15734674,306632,1,5
15658032,178191,1,7
15692671,107268,1,2
15737741,255641,0,108435.87
15576352,814370,0,11
15753719,138919,1,36213.205
15753719,700419,0,36207.205
15803689,286888,0,119744.77
15718057,183205,0,50500.355
15718057,840138,0,50488.355
15722010,398449,1,85257.92
15722010,952445,0,85268.92
15680998,884028,1,32
15614782,458655,1,32
15591047,597553,0,78651.01
15591047,467974,0,78656.01
15788291,762371,1,72321.11
15788291,518790,0,72326.11
15604044,595761,1,134817.3
15679587,723711,1,115919.12
15775153,128271,0,41022
15775153,268399,0,41030
15603925,493449,0,87164.065
15603925,677687,0,87162.065
15680970,729477,1,57134.42
15680970,395880,0,57122.42
15697183,471881,1,19
15697183,719617,0,15
15567446,323178,1,55793.205
15567446,627945,0,55792.205
15637476,450689,0,81224.345
15637476,154611,0,81250.345
15714939,224493,0,148283.54
15683503,676237,0,30
15683503,479367,0,8
15645569,438279,1,123731.46
15782569,205017,0,12
15782569,767685,0,3
15592387,237101,1,17
15609286,674139,1,75263.9
15609286,167026,0,75273.9
15814035,674108,1,3
15814035,525690,0,22
15661249,523819,0,3
15629117,226170,1,2
15607170,527596,1,15
15607170,710713,0,0
15586585,208191,1,111022.98
15686611,189703,0,64887.995
15686611,593663,0,64885.995
15603203,391914,1,26
15603203,580843,0,28
15619857,853323,1,129580.7
15805062,530279,1,87205.38
15660271,170505,1,73088.695
15660271,120822,0,73084.695
15745295,651086,1,11
15719352,288957,1,85118.495
15719352,494347,0,85111.495
15766575,266491,1,140778.33
15594594,938547,1,69549.255
15594594,617876,0,69559.255
15646161,550608,1,19
15646161,304084,0,4
15682585,389294,1,114215.24
15603134,879928,0,83953.25
15603134,142162,0,83961.25
15636444,486082,1,70835.275
15636444,120495,0,70828.275
15773456,322810,0,72876.835
15773456,416001,0,72879.835
15745307,838611,0,64589.32
15745307,848731,0,64568.32
15604119,143158,0,110358.82
15626900,399660,1,141335.56
15605447,495585,1,39356.92
15605447,353743,0,39356.92
15589030,817321,1,11
15692463,595049,1,142271.65
15712403,946115,1,3
15811762,603476,1,116003.86
15718673,436018,1,37806.215
15718673,397506,0,37824.215
15724282,429791,1,82078.52
15724282,121046,0,82087.52
15738181,949119,0,34007.115
15738181,806841,0,34004.115
15633648,634077,1,18
15633648,175686,0,28
15603323,642257,0,8
15583725,358454,0,69419.075
15583725,533180,0,69407.075
15588350,475240,0,147832.15
15798398,412056,0,135470.4
15784844,378168,1,58057.04
15784844,721338,0,58059.04
15580684,152728,1,112573.62
15809663,629143,1,62732.29
15809663,133848,0,62706.29
15640078,387416,1,67577.495
15640078,185410,0,67568.495
15698786,888088,1,133135.92
15569807,562237,1,42184.08
15730830,502363,1,7
15805112,397159,1,82268.29
15633064,880618,1,27
15633064,466726,0,28
15703119,283838,1,14
15703119,655503,0,15
15730447,446051,1,24
15813850,841119,1,1
15711889,795411,1,150484.07
15664610,607361,1,67031.26
15664610,266061,0,67028.26
15751710,992801,1,82457.405
15751710,306009,0,82450.405
15692926,324420,1,121727.73
15813741,362376,0,96949.1
15813741,966021,0,96941.1
15698474,366605,1,131072.97
15568595,726238,1,113855.45
15603065,138623,1,21
15592937,418660,1,81894.38
15699637,616947,1,116345.07
15667215,388565,1,19
15788659,605718,1,30
15788659,308271,0,12
15763218,369664,0,23
15645772,888659,1,1
15645772,686822,0,9
15725511,155677,0,63543.365
15725511,643148,0,63544.365
15575024,953378,1,16
15575024,980202,0,9
15640825,648037,1,122549.64
15662397,676493,1,88055.565
15662397,287648,0,88075.565
15576368,744364,0,122394.38
15674991,785463,0,19
15721024,705881,0,19
15745621,421191,1,118909.35
15642394,315873,1,6
15754605,867955,1,24
15607040,683165,1,88769.44
15715142,553607,0,51380.81
15715142,867155,0,51359.81
15810978,166607,1,2
15668886,944103,1,1
15780804,632613,0,97336.25
15613880,847996,0,64260.345
15613880,195888,0,64245.345
15775238,101468,0,133436.59
15786905,544737,0,70912.285
15786905,405655,0,70905.285
15747867,651011,0,135149.28
15600337,661480,0,178853.91
15801277,743240,1,112238.14
15579334,747771,1,63361.405
15579334,671516,0,63369.405
15802741,320330,1,136295.97
15720649,313400,1,33209.32
15720649,431062,0,33208.32
15589493,569223,1,122553.34
15688251,200013,1,76435.85
15665238,601762,0,145102.24
15740900,504528,1,18
15681068,950400,1,109739.22
15748625,708992,1,34
15748625,562631,0,29
15727299,537166,1,64123.38
15620204,343115,1,53102.165
15620204,438144,0,53081.165
15669516,494474,1,28
15669516,606249,0,28
15736534,700487,1,90856.255
15736534,696519,0,90856.255
15803457,851939,1,11
15659098,387552,0,47577.43
15659098,516599,0,47576.43
15603436,350288,0,126643.94
15566292,658691,0,4
15808621,170710,1,38106.24
15808621,229913,0,38118.24
15580148,829462,1,168302.81
15776231,742155,1,88136.81
15773809,246149,1,1
15773809,142940,0,8
15649423,283894,0,13
15734886,673846,1,123984.51
15722548,591772,0,74084.24
15722548,123667,0,74066.24
15650288,599400,1,116291.01
15629448,220823,1,120623.21
15716164,325520,1,72132.25
15716164,186542,0,72151.25
15807609,405005,1,86625.5
15578977,802571,1,0
15677369,569048,0,58650.97
15804072,888035,0,30
15696859,129223,0,29
15653780,547195,1,10
15721658,241652,1,104892.655
15721658,705573,0,104897.655
15578761,747537,1,64845.125
15578761,415260,0,64841.125
15736879,397497,0,17
15571973,408205,1,84923.23
15571973,690888,0,84944.23
15626742,840243,1,48792.125
15626742,127290,0,48783.125
15672692,678913,1,145995.65
15673570,716054,0,0
15767432,329593,1,33
15654238,514817,1,137509.28
